('Accuracy:', '0.6630769230769231')
('Accuracy:', '0.6825641025641026')
('Accuracy:', '0.6548717948717949')
('Accuracy:', '0.6712820512820513')
('Accuracy:', '0.6733333333333333')
('Accuracy:', '0.6538461538461539')
('Accuracy:', '0.6723076923076923')
('Accuracy:', '0.6723076923076923')
('Accuracy:', '0.6825641025641026')
('Accuracy:', '0.6856410256410257')
('Accuracy:', '0.6851282051282052')
('Accuracy:', '0.6682051282051282')
('Accuracy:', '0.6671794871794872')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.6692307692307692')
('Accuracy:', '0.6928205128205128')
('Accuracy:', '0.6753846153846154')
('Accuracy:', '0.6615384615384615')
('Accuracy:', '0.6723076923076923')
('Accuracy:', '0.6656410256410257')
('Accuracy:', '0.6692307692307692')
('Accuracy:', '0.6641025641025641')
('Accuracy:', '0.6743589743589744')
('Accuracy:', '0.6646153846153846')
('Accuracy:', '0.6841025641025641')
('Accuracy:', '0.6902564102564103')
('Accuracy:', '0.6820512820512821')
('Accuracy:', '0.6646153846153846')
('Accuracy:', '0.6584615384615384')
('Accuracy:', '0.6841025641025641')
('Accuracy:', '0.6841025641025641')
('Accuracy:', '0.6558974358974359')
('Accuracy:', '0.6723076923076923')
('Accuracy:', '0.6707692307692308')
('Accuracy:', '0.6753846153846154')
('Accuracy:', '0.683076923076923')
('Accuracy:', '0.6656410256410257')
('Accuracy:', '0.6779487179487179')
('Accuracy:', '0.6712820512820513')
('Accuracy:', '0.6646153846153846')
('Accuracy:', '0.6630769230769231')
('Accuracy:', '0.6625641025641026')
('Accuracy:', '0.6543589743589744')
('Accuracy:', '0.6671794871794872')
('Accuracy:', '0.6702564102564103')
('Accuracy:', '0.6707692307692308')
('Accuracy:', '0.6779487179487179')
('Accuracy:', '0.6779487179487179')
('Accuracy:', '0.6630769230769231')
('Accuracy:', '0.6851282051282052')
('Accuracy:', '0.6912820512820513')
('Accuracy:', '0.661025641025641')
('Accuracy:', '0.6717948717948717')
('Accuracy:', '0.6641025641025641')
('Accuracy:', '0.683076923076923')
('Accuracy:', '0.6892307692307692')
('Accuracy:', '0.6707692307692308')
('Accuracy:', '0.6692307692307692')
('Accuracy:', '0.6876923076923077')
('Accuracy:', '0.6774358974358974')
('Accuracy:', '0.6625641025641026')
('Accuracy:', '0.6717948717948717')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.676923076923077')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6692307692307692')
('Accuracy:', '0.676923076923077')
('Accuracy:', '0.6866666666666666')
('Accuracy:', '0.6635897435897435')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6743589743589744')
('Accuracy:', '0.6697435897435897')
('Accuracy:', '0.68')
('Accuracy:', '0.6641025641025641')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6635897435897435')
('Accuracy:', '0.6676923076923077')
('Accuracy:', '0.6820512820512821')
('Accuracy:', '0.6630769230769231')
('Accuracy:', '0.6841025641025641')
('Accuracy:', '0.6835897435897436')
('Accuracy:', '0.6851282051282052')
('Accuracy:', '0.6753846153846154')
('Accuracy:', '0.678974358974359')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.6733333333333333')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6851282051282052')
('Accuracy:', '0.6579487179487179')
('Accuracy:', '0.6748717948717948')
('Accuracy:', '0.6866666666666666')
('Accuracy:', '0.6717948717948717')
('Accuracy:', '0.6938461538461539')
('Accuracy:', '0.681025641025641')
('Accuracy:', '0.6615384615384615')
('Accuracy:', '0.6574358974358975')
('Accuracy:', '0.6738461538461539')
('Accuracy:', '0.6743589743589744')
('Accuracy:', '0.6702564102564103')
('Accuracy:', '0.6630769230769231')
