('Accuracy:', '0.6594871794871795')
('Accuracy:', '0.676923076923077')
('Accuracy:', '0.6528205128205128')
('Accuracy:', '0.6861538461538461')
('Accuracy:', '0.6594871794871795')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6748717948717948')
('Accuracy:', '0.6866666666666666')
('Accuracy:', '0.6574358974358975')
('Accuracy:', '0.6671794871794872')
('Accuracy:', '0.6461538461538462')
('Accuracy:', '0.6753846153846154')
('Accuracy:', '0.6635897435897435')
('Accuracy:', '0.6707692307692308')
('Accuracy:', '0.6625641025641026')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.66')
('Accuracy:', '0.6666666666666666')
('Accuracy:', '0.6641025641025641')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.6794871794871795')
('Accuracy:', '0.6820512820512821')
('Accuracy:', '0.6635897435897435')
('Accuracy:', '0.6784615384615384')
('Accuracy:', '0.6671794871794872')
('Accuracy:', '0.6558974358974359')
('Accuracy:', '0.6651282051282051')
('Accuracy:', '0.6758974358974359')
('Accuracy:', '0.6738461538461539')
('Accuracy:', '0.6435897435897436')
('Accuracy:', '0.6543589743589744')
('Accuracy:', '0.6774358974358974')
('Accuracy:', '0.6646153846153846')
('Accuracy:', '0.6512820512820513')
('Accuracy:', '0.6717948717948717')
('Accuracy:', '0.6687179487179488')
('Accuracy:', '0.6497435897435897')
('Accuracy:', '0.681025641025641')
('Accuracy:', '0.6635897435897435')
('Accuracy:', '0.6841025641025641')
('Accuracy:', '0.6692307692307692')
('Accuracy:', '0.683076923076923')
('Accuracy:', '0.6671794871794872')
('Accuracy:', '0.6507692307692308')
('Accuracy:', '0.6687179487179488')
('Accuracy:', '0.6717948717948717')
('Accuracy:', '0.6738461538461539')
('Accuracy:', '0.6605128205128206')
('Accuracy:', '0.6815384615384615')
('Accuracy:', '0.6851282051282052')
('Accuracy:', '0.6666666666666666')
('Accuracy:', '0.6692307692307692')
('Accuracy:', '0.6579487179487179')
('Accuracy:', '0.6712820512820513')
('Accuracy:', '0.6856410256410257')
('Accuracy:', '0.6702564102564103')
('Accuracy:', '0.6728205128205128')
('Accuracy:', '0.6723076923076923')
('Accuracy:', '0.6497435897435897')
('Accuracy:', '0.6805128205128205')
('Accuracy:', '0.6697435897435897')
('Accuracy:', '0.6687179487179488')
('Accuracy:', '0.6523076923076923')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6687179487179488')
('Accuracy:', '0.6682051282051282')
('Accuracy:', '0.6717948717948717')
('Accuracy:', '0.6605128205128206')
('Accuracy:', '0.6835897435897436')
('Accuracy:', '0.6728205128205128')
('Accuracy:', '0.6630769230769231')
('Accuracy:', '0.662051282051282')
('Accuracy:', '0.662051282051282')
('Accuracy:', '0.678974358974359')
('Accuracy:', '0.6646153846153846')
('Accuracy:', '0.6687179487179488')
('Accuracy:', '0.6697435897435897')
('Accuracy:', '0.6625641025641026')
('Accuracy:', '0.6815384615384615')
('Accuracy:', '0.6728205128205128')
('Accuracy:', '0.6594871794871795')
('Accuracy:', '0.6784615384615384')
('Accuracy:', '0.6815384615384615')
('Accuracy:', '0.6728205128205128')
('Accuracy:', '0.6594871794871795')
('Accuracy:', '0.6748717948717948')
('Accuracy:', '0.6841025641025641')
('Accuracy:', '0.6861538461538461')
('Accuracy:', '0.662051282051282')
('Accuracy:', '0.6656410256410257')
('Accuracy:', '0.6682051282051282')
('Accuracy:', '0.6753846153846154')
('Accuracy:', '0.6661538461538462')
('Accuracy:', '0.6512820512820513')
('Accuracy:', '0.6625641025641026')
('Accuracy:', '0.6687179487179488')
('Accuracy:', '0.6635897435897435')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.6764102564102564')
('Accuracy:', '0.6707692307692308')
